OperationType,Date,GSM ID,User Name
close,2020-07-10T11:52:00.318639,57,Marcel
close,2020-07-12T10:37:54.027196,60,Marcel
open,2020-07-12T11:45:13.512112,57,Marcel
close,2020-07-12T11:45:55.446437,129,Marcel
open,2020-07-10T14:16:28.971895,163,Marcel
close,2020-07-12T10:30:39.740008,57,Marcel
open,2020-07-12T11:36:41.962097,60,Marcel
open,2020-07-12T10:19:06.812852,57,Marcel
close,2020-07-10T11:52:10.279884,57,Marcel
close,2020-07-10T12:52:29.635196,60,Marcel
close,2020-07-10T12:20:29.933602,57,Marcel
close,2020-07-12T11:49:01.186486,60,Marcel
close,2020-07-10T12:20:29.884811,60,Marcel
close,2020-07-10T12:55:54.860538,60,Marcel
close,2020-07-10T11:52:16.201602,57,Marcel
close,2020-07-12T10:14:39.082796,57,Marcel
open,2020-07-12T10:27:39.049988,128,Marcel
close,2020-07-10T11:52:11.331033,57,Marcel
close,2020-07-10T11:52:16.640538,57,Marcel
open,2020-07-10T12:23:00.875344,57,Marcel
open,2020-07-10T12:40:29.492479,47,Marcel
close,2020-07-10T11:52:16.790133,57,Marcel
open,2020-07-12T09:40:25.564874,128,Marcel
close,2020-07-10T11:52:17.135218,57,Marcel
open,2020-07-10T12:55:37.340952,60,Marcel
close,2020-07-12T10:23:43.210300,60,Marcel
close,2020-07-10T12:50:47.325409,60,Marcel
close,2020-07-12T10:30:25.213804,57,Marcel
close,2020-07-12T11:45:33.835054,57,Marcel
close,2020-07-12T11:49:09.105820,57,Marcel
close,2020-07-10T11:52:12.557088,57,Marcel
close,2020-07-12T11:19:43.337474,60,Marcel
open,2020-07-12T11:45:16.932049,60,Marcel
open,2020-07-10T11:52:17.104314,57,Marcel
close,2020-07-12T10:05:29.175399,57,Marcel
open,2020-07-10T12:02:26.641220,60,Marcel
open,2020-07-12T10:23:36.655277,60,Marcel
open,2020-07-10T11:59:41.225998,57,Marcel
close,2020-07-10T12:03:53.375434,60,Marcel
open,2020-07-10T12:23:00.847249,60,Marcel
close,2020-07-12T10:30:22.523330,57,Marcel
open,2020-07-10T11:59:29.587819,57,Marcel
close,2020-07-10T13:33:29.007104,47,Marcel
close,2020-07-10T11:52:14.014428,57,Marcel
open,2020-07-10T11:59:42.280354,60,Marcel
open,2020-07-10T12:16:37.709926,57,Marcel
open,2020-07-10T12:46:57.350953,60,Marcel
open,2020-07-12T10:38:11.389191,57,Marcel
close,2020-07-10T12:50:08.429316,60,Marcel
open,2020-07-12T10:12:08.828903,57,Marcel
close,2020-07-10T12:47:56.870738,60,Marcel
open,2020-07-12T10:34:04.635694,57,Marcel
open,2020-07-10T12:02:26.673398,57,Marcel
open,2020-07-10T11:52:10.947059,57,Marcel
close,2020-07-10T11:52:12.033160,57,Marcel
open,2020-07-12T10:27:04.139989,60,Marcel
open,2020-07-10T12:33:16.965679,60,Marcel
close,2020-07-10T14:16:23.995730,47,Marcel
open,2020-07-10T11:52:16.783203,57,Marcel
close,2020-07-10T12:52:36.326100,60,Marcel
close,2020-07-10T11:52:06.656121,57,Marcel
open,2020-07-10T11:59:06.741585,60,Marcel
open,2020-07-10T11:59:49.537032,57,Marcel
open,2020-07-12T11:30:12.406690,57,Marcel
close,2020-07-10T12:50:42.328941,60,Marcel
open,2020-07-10T12:00:01.635588,60,Marcel
open,2020-07-10T12:55:25.183044,60,Marcel
close,2020-07-10T12:00:58.679055,57,Marcel
open,2020-07-12T11:49:07.667684,57,Marcel
close,2020-07-10T12:01:07.813374,60,Marcel
close,2020-07-10T11:52:14.680645,57,Marcel
open,2020-07-10T11:52:16.087889,57,Marcel
close,2020-07-12T11:19:39.385249,60,Marcel
open,2020-07-10T12:55:33.733852,60,Marcel
close,2020-07-10T12:55:34.878886,60,Marcel
open,2020-07-12T11:48:59.052958,60,Marcel
open,2020-07-12T14:28:32.301686,60,Marcel
close,2020-07-10T11:52:12.475275,57,Marcel
open,2020-07-12T10:27:36.408947,128,Marcel
close,2020-07-12T10:23:36.683319,57,Marcel
close,2020-07-10T10:25:48.619571,60,Marcel
close,2020-07-10T11:32:25.893118,57,Marcel
close,2020-07-10T12:00:52.633251,60,Marcel
open,2020-07-12T10:31:26.913819,57,Marcel
open,2020-07-10T11:59:06.821297,57,Marcel
open,2020-07-12T10:24:02.991372,57,Marcel
open,2020-07-12T10:37:57.669268,60,Marcel
open,2020-07-10T11:59:45.153159,60,Marcel
close,2020-07-12T10:33:02.249960,57,Marcel
open,2020-07-12T10:04:41.544672,60,Marcel
open,2020-07-12T09:40:49.487743,128,Marcel
close,2020-07-12T11:45:11.072467,57,Marcel
open,2020-07-10T12:55:42.080557,57,Marcel
close,2020-07-12T10:23:39.968995,128,Marcel
close,2020-07-10T11:52:22.901656,57,Marcel
close,2020-07-10T12:40:27.198742,47,Marcel
close,2020-07-10T11:52:19.948864,57,Marcel
close,2020-07-10T12:03:53.368452,57,Marcel
close,2020-07-12T09:40:19.485758,128,Marcel
close,2020-07-12T10:30:42.070958,57,Marcel
close,2020-07-10T12:47:56.802794,57,Marcel
open,2020-07-12T10:25:31.889048,129,Marcel
close,2020-07-10T11:32:28.599881,57,Marcel
open,2020-07-10T11:59:52.055846,57,Marcel
close,2020-07-12T09:40:45.396680,128,Marcel
open,2020-07-10T11:59:59.769048,57,Marcel
close,2020-07-10T11:32:09.930829,57,Marcel
open,2020-07-12T10:27:19.650342,60,Marcel
close,2020-07-12T11:39:13.433257,60,Marcel
open,2020-07-12T10:27:14.156400,60,Marcel
close,2020-07-10T11:54:36.171022,60,Marcel
close,2020-07-11T22:26:34.866430,57,Marcel
close,2020-07-10T12:25:06.841713,57,Marcel
close,2020-07-10T12:26:27.902188,60,Marcel
open,2020-07-10T11:52:14.172008,57,Marcel
close,2020-07-12T10:15:14.400945,60,Marcel
open,2020-07-12T10:31:22.179980,57,Marcel
close,2020-07-10T12:53:35.581844,57,Marcel
close,2020-07-12T10:38:06.965644,57,Marcel
open,2020-07-12T10:23:54.842369,128,Marcel
close,2020-07-10T10:25:50.915432,57,Marcel
close,2020-07-12T10:25:31.842213,128,Marcel
close,2020-07-12T11:27:01.901592,57,Marcel
open,2020-07-10T14:16:21.708157,47,Marcel
close,2020-07-12T10:33:07.223080,57,Marcel
open,2020-07-12T10:31:16.531653,57,Marcel
open,2020-07-10T11:52:12.040140,57,Marcel
close,2020-07-10T12:00:52.581351,57,Marcel
close,2020-07-10T11:31:51.868754,57,Marcel
open,2020-07-10T12:31:49.081443,57,Marcel
open,2020-07-10T11:52:16.350199,57,Marcel
close,2020-07-10T12:49:55.496362,60,Marcel
